"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
147475,74443.2,456.46,284.2,7742.25,86402.2,14220.2,21109.9,1030.5,3373.5,513.7
107548,46615.9,1020.22,252.88,5094,51380.2,8576.1,13203.8,770.25,8278.92,513.9
220336,99564.7,3505.52,1202.92,9363,67722.7,15710.8,82595,1503.75,31909,514.6
126239,30371.6,250.56,82.94,3728.25,47773.4,7769.58,9680.58,417,1649.7,523.8
104988,35916.7,470.38,314.36,3936,35957.2,6417.84,14632.8,652.5,6994.26,534.2
198603,61378.2,591.02,279.56,3284.25,11522.2,3669.12,19306.6,931.5,2435.16,536.4
204072,83400.7,1135.64,199.52,11095.5,112924,19568.6,23283,1528.5,7006.74,537
173364,36011,1384.46,333.5,13911,210016,31208.6,23491.3,914.25,15036.1,543.3
169323,29466.1,580.58,219.24,2040.75,8060.52,3084.9,19535.9,558,1412.58,550.8
103130,22851.7,291.16,401.36,3063.75,35055.5,6616.74,32614.1,473.25,1500.72,551.2
70803.6,21393.8,409.48,98.6,2661,17447,4130.88,7634.64,718.5,1959.36,551.5
145353,27392.8,433.26,145,3376.5,30825.6,5647.98,15717.8,516.75,1756.56,556.9
186733,38096,388.6,178.06,3561.75,26068.4,5246.28,12682.8,609.75,2034.24,556.9
140801,46318.7,533.6,236.06,4081.5,35695.9,6723.6,13355.9,739.5,1742.52,560.5
77133.8,73772.4,303.34,299.86,6309.75,60730,10644.7,17139.7,963,2946.06,561.1
217088,50525.3,670.48,368.88,8379,98283.1,16186.6,24728.3,1075.5,5691.66,566.3
83981.4,47083.1,320.74,306.24,4146.75,36275.5,6708,21076.4,680.25,2579.46,566.7
262143,94562.5,1063.14,451.82,8628.75,58521.1,12842.7,39333.8,1621.5,5769.66,567.3
203324,83561.4,1021.38,793.44,7422,62552.9,12891.1,53316.9,1169.25,4356.3,567.7
133194,35005.6,370.62,178.06,3446.25,25121.5,5624.58,16773.1,657,2287.74,574.2
126434,26894.4,633.36,170.52,3263.25,15026.7,4712.76,6452.16,955.5,2868.06,577.7
144279,66293.8,1031.24,543.46,5631.75,21925,7646.34,30342,1317.75,6799.26,584.2
134562,31066.6,102.66,124.7,2433,20304.2,3986.58,7392.06,459.75,1111.5,585.5
110107,21616.1,172.26,128.76,5850.75,80751.8,11920,8859.24,519.75,2123.94,590.3
65762.1,35262.2,406.58,91.64,4642.5,46793.8,8014.5,11353.7,764.25,2978.04,594.9
191829,40687.1,261.58,303.34,4319.25,43474.1,8282.82,25633.9,580.5,1974.96,596.2
223094,72354.4,813.74,795.76,5940.75,25166.7,8314.02,55377.7,1299,6222.06,596.6
262060,85017.7,1182.04,1041.1,7689.75,48296,12973.7,82757.2,1553.25,6431.1,597.3
217499,98683.3,2271.86,676.28,5645.25,10466.8,5737.68,38439.2,1438.5,21549.1,601.1
112484,29500.4,446.6,63.8,2735.25,20314.3,4222.92,8087.82,643.5,1892.28,601.7
38805.6,24563.8,277.24,168.2,2302.5,16992.3,3727.62,13827.1,651,2040.48,602.3
135574,32908.2,251.72,288.26,2469.75,11039.3,3078.66,15220.1,532.5,1645.02,603.9
165934,42574,994.7,368.88,6573,84311,13522.1,13036.1,762.75,10428.6,612.4
181405,30129.8,417.6,276.08,3894.75,29852.2,6576.18,23642.6,783.75,2694.9,613.7
151024,81871.1,1244.68,359.02,7469.25,31874.7,9400.56,16625.7,2610,8260.98,622.9
156707,30712.5,1203.5,374.68,12765.8,197079,29916.1,24350,897,14597.7,625.2
215732,88573.7,543.46,621.76,21125.3,262143,45499.7,46348.4,1908.75,7661.16,627.7
161040,37143.6,452.4,381.06,4187.25,33526.7,7188.48,27284.4,755.25,2697.24,631.2
103025,56629.6,1396.06,665.26,5139.75,32483.9,8342.88,27510.6,1033.5,9782.76,632.4
151672,76754.3,765.6,421.66,17817.8,223805,34760.7,31651.6,1798.5,5756.4,633.3
147997,49842.8,444.28,445.44,5879.25,51170.3,10457.5,33940.9,1017.75,3410.94,633.9
262143,93537.6,1305.58,824.18,10431.8,54798.9,15284.9,60587.3,2466,10079.9,634.6
203266,112714,1352.56,578.26,11342.3,89927,18602.2,42289.3,2267.25,8356.14,645.2
165043,56863.6,610.74,306.24,6197.25,55862,9850.62,18194.3,939,5601.18,645.8
136968,58753.5,392.66,104.4,2560.5,7111.26,2657.46,7348.38,874.5,2219.1,650.3
130498,32631.3,385.7,321.9,2376.75,8822.58,3447.6,30196.1,562.5,1803.36,652.3
169340,66515.3,428.62,232.58,11614.5,139677,22325.9,18950.1,1382.25,5508.36,653.2
183411,77293.3,466.32,439.64,5385.75,27011.4,7020.78,31036.2,1104,3495.96,655.4
94592.1,18227.8,218.08,119.48,2910.75,32922.2,5610.54,9239.88,431.25,1779.96,659.4
67518.6,17553.9,481.4,145.58,3842.25,55327.7,7998.9,4042.74,424.5,5997.42,660.3
155232,30384.9,354.96,319.58,2957.25,18335.5,4730.7,21907.9,632.25,1932.84,662.5
108964,30579.9,392.66,269.12,3204,20134.1,5059.86,22403.2,609,2328.3,663.4
