"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
76180.4,52759,94629.5,10639.2,8823,79026.5,777.2,117.74,1314,15419,2559.18,3956.16,246.75,6279.78,102.4
61066,38704,103401,16612.4,13108,83057.1,95.7,117.74,1107,11623.6,2209.74,5386.68,180.75,1678.56,103.2
82378.6,47594,113434,22832.2,16330,91630.6,1283.54,290.58,1695,20000,3322.8,9519.9,279.75,16655.3,103.5
104193,61008,111926,20297.9,14592,91162.7,511.56,200.1,1931.25,8960.64,2898.48,13585.3,547.5,5858.58,103.6
80107.4,46797,112185,19005.5,12873,96756.2,349.74,86.42,1158,7730.58,1928.16,10619.7,285.75,3319.68,105.4
49139.5,41298,77979.7,8283.6,7558,71827.7,197.2,77.72,914.25,12938.6,2309.58,11501.9,114.75,570.18,105.6
72928.6,44475,107464,12082.2,9355,84641.3,733.12,348,1517.25,16921.3,3451.5,26041.1,174,6487.26,105.6
110741,70722,102620,23430.4,17554,87475,760.96,94.54,1676.25,17354.2,3137.94,9724.26,296.25,4604.34,106.5
174894,93143,123056,61449.2,33347,120764,3550.76,1021.96,4558.5,31554.1,7888.92,51079.9,976.5,38943.8,106.7
64791.1,37820,112273,13359.8,9928,88190,502.86,180.38,2428.5,31308.4,5109.78,7353.06,320.25,4409.34,106.9
85020.4,47813,116535,25619.9,18449,91009,493.58,116,2658.75,30845.1,5199.48,6969.3,379.5,3379.74,107.1
108497,65718,108196,26086.3,20278,84307.8,415.28,173.42,2063.25,12935.5,3354,12760.8,522.75,2063.1,107.2
108977,69750,102394,24117.6,18642,84785.5,598.56,43.5,1904.25,6547.32,2180.88,3407.82,455.25,3527.94,107.4
70151.5,38826,118412,14863.7,11374,85643.2,392.08,107.3,846.75,5651.1,1606.02,5008.38,208.5,2371.2,109
87365,50799,112710,28253.9,20395,90789.4,411.8,117.16,3858.75,48643.1,7705.62,9622.86,457.5,2569.32,109.6
97594.3,54039,118358,36915.1,26855,90086.2,953.52,287.1,2745,32740.5,5498.22,11663.3,447,9600.24,109.6
98917.6,57807,112143,15394.9,11403,88478.3,24.94,104.4,1566.75,13873.9,2677.74,9982.44,325.5,1400.1,111
97883.3,59322,108137,31175.8,20782,98312.9,704.12,198.36,2460.75,30552.6,5088.72,10383.4,394.5,6618.3,111
73714,48921,98749.5,14398.8,11037,85497.9,151.96,71.34,976.5,8153.34,1769.82,10846.7,210,2403.18,111.7
86978.1,56043,101711,14832.5,11243,86459.3,595.66,91.64,1312.5,10165,2419.56,9415.38,275.25,5151.12,113.6
111483,71815,101735,19156,14551,86276.5,437.9,186.76,1152,6013.02,1564.68,7056.66,318.75,5937.36,114.2
156560,91715,111872,25502.1,18803,88885,517.94,223.88,2477.25,30659.5,5221.32,13540,384.75,6533.28,114.9
73522.3,47799,100805,19307.3,15059,84024.6,338.14,80.62,1248.75,8784.36,2058.42,9290.58,389.25,1964.04,115.1
109246,58930,121492,47081.6,26802,115123,1495.24,350.9,3465,13856.7,4254.12,16261.4,917.25,13327.1,115.6
119472,67390,116185,20011.7,14654,89496.8,185.02,138.62,2657.25,32065.8,5530.98,9229.74,393,1398.54,116.7
159626,87383,119717,27832.7,18743,97318.8,623.5,338.14,3013.5,32549.4,6075.42,18280.1,504,5595.72,116.8
60441.8,42715,92733.6,10679,9055,77289.6,215.76,3.48,875.25,1328.34,936.78,1691.04,297.75,1342.38,117.7
126101,77503,106630,23440.6,17775,86424.8,129.92,198.94,2261.25,23326.7,4529.46,14199.9,349.5,3509.22,118.2
61460.4,37746,106710,16704.5,12818,85406.8,240.7,55.68,1536,15476,2624.7,5639.4,237,975.78,118.3
133047,84891,102712,22789.3,16811,88841.6,285.36,185.02,1551,7174.44,2490.54,15156.2,406.5,1458.6,118.6
69581.7,37548,121447,21092.8,15036,91935,737.18,241.28,3671.25,51767.8,8516.82,20056.1,411.75,5353.92,118.8
82330.3,48522,111199,16836.3,12878,85679.7,417.02,190.82,1128,5015.4,1913.34,14270.9,305.25,4413.24,119.1
50539.6,28600,115810,22357.9,11548,126883,817.22,200.68,1677.75,6779.76,2153.58,7761.78,454.5,3564.6,119.6
115145,67750,111382,21675.4,16770,84706,791.7,143.26,2856,28658,5226,8881.86,595.5,6298.5,121
135980,74646,119384,43527.9,27894,102267,1551.5,481.4,4093.5,33121.9,6489.6,14489.3,793.5,17269.2,121.1
105416,59295,116511,36422.9,25659,93028.2,1296.88,317.84,2700.75,22683.2,4863.3,18384.6,519,9725.82,122
128312,81942,102622,26037.2,19190,88919.9,452.98,183.86,1758,16070.3,3297.84,11994.8,327,5679.96,122.2
159542,90747,115218,30495.7,22235,89883.7,454.72,151.38,4254,51532.3,8807.76,9161.88,644.25,2139.54,122.4
78004.8,40902,124985,28795.3,20338,92788.2,403.68,223.88,1288.5,6273.54,1874.34,13673.4,340.5,4892.16,122.6
113844,72790,102499,34319.2,21494,104641,2186.6,458.78,2403,9654.84,2992.86,11842.7,682.5,18446.2,122.9
105076,71942,95719.3,15940.9,12630,82715.8,773.72,64.96,1195.5,5075.46,1735.5,7132.32,337.5,3571.62,123.1
125185,87598,93656.7,18069.5,14446,81974.4,263.9,198.94,1146.75,11681.3,2228.46,9108.06,226.5,5124.6,123.5
75147.5,37339,131896,29898.2,19307,101487,1380.4,227.94,1548,7879.56,2206.62,10559.6,419.25,11854.4,124
93484.4,45763,133877,49256.2,30547,105675,1114.76,302.76,3391.5,14836.4,4562.22,13750.6,935.25,3090.36,124.7
96953.7,47633,133394,38965.7,22865,111684,439.64,241.86,2319,8778.9,3170.7,15619.5,609.75,1995.24,124.8
155696,83683,121932,50931.7,30195,110543,1302.1,591.6,6285,77520.3,13223.3,33738.9,855,12483.9,125.2
102189,56006,119578,28827.2,20134,93832.4,267.38,228.52,3000.75,29278.1,5484.18,15323.9,492,1399.32,125.7
133091,76576,113903,31792,22708,91752.8,1683.16,273.76,3201,39404.8,6416.28,11739,486.75,14664,125.9
118689,72542,107226,24832.1,18606,87466.1,425.14,176.32,1700.25,7169.76,2467.92,10090.9,530.25,3039.66,126.7
107860,66626,106096,21599,16390,86364.3,352.06,171.68,2065.5,22068.5,4072.38,10091.6,341.25,2978.04,126.8
107173,67143,104608,18963.4,14435,86095.1,462.26,267.96,918,2654.34,1470.3,11899.7,314.25,4518.54,127.2
93160,60783,100445,14527.5,11711,81297.4,222.72,165.88,1733.25,20303.4,3499.86,5804.76,280.5,1707.42,127.5
116666,65207,117255,24191.7,17799,89074,2245.18,325.96,1488,13423.8,2533.44,10522.2,333.75,24368,128.4
48821.3,27863,114832,15603.1,11027,92732.9,297.54,127.6,916.5,4236.18,1415.7,7050.42,260.25,1567.02,129.2
109159,62615,114251,39517.9,27527,94083.9,186.18,160.08,3556.5,39381.4,7035.6,12407.5,597,1970.28,129.3
130241,88002,96991.9,15813.7,12566,82474,104.98,85.26,1206.75,9757.02,2334.54,14291.2,273.75,852.54,129.6
97599,61414,104150,16355,12406,86397.2,439.64,397.3,1131.75,7982.52,2231.58,18880.7,252.75,3866.46,129.8
65987.9,49456,87443,11227.3,9584,76773.1,152.54,-1.16,848.25,1230.84,856.44,1671.54,314.25,872.04,130.3
89027,62851,92830.2,11734.3,9639,79782.2,401.94,41.76,1165.5,11235.1,2058.42,3260.4,165.75,1788.54,130.7
81328,45720,116577,20552.2,15000,89794,408.9,235.48,1258.5,7924.02,2213.64,11918.4,306.75,4564.56,132.3
140888,79339,116377,34615.6,24799,91478.3,876.38,455.88,2274.75,14306,3896.1,25759.5,573,9123.66,132.4
115463,66937,113046,30537.8,20893,95789.2,731.96,114.26,1456.5,6413.94,2106.78,10007.4,452.25,4319.64,133.5
58410.6,30402,125913,22997.5,15954,94469.4,422.82,113.68,1248,9091.68,2046.72,12143.8,271.5,4744.74,134.2
74918.3,51043,96190.4,12273.3,9303,86460.6,514.46,92.22,1434,20307.3,3293.16,7963.02,168.75,6222.06,134.4
57025.5,37446,99803,18869.8,14006,88294.2,288.26,120.64,1419,16717.7,3129.36,12853.6,244.5,3793.92,135
105665,58262,118857,24523.2,16930,94929.3,99.18,43.5,1819.5,12710.9,2534.22,3948.36,439.5,1234.74,135.1
82915.1,44238,122834,27380.3,19086,94016.4,410.06,158.34,1961.25,14249,3271.32,12625.1,455.25,4157.4,135.8
91132.9,52344,114101,24157.4,17196,92066.6,464.58,215.18,1521,13436.3,2698.8,12414.5,336.75,6663.54,136.2
