"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
91775.5,53270,112908,77202.1,56646,89318.1,609,204.74,2643.75,6013.02,2648.88,4451.46,1001.25,2531.88,103.6
85807.8,49731,113078,28764.8,18759,100492,306.82,141.52,3032.25,18394,4311.84,7318.74,619.5,2102.88,104.1
96902,58919,107785,42628.6,26739,104481,909.44,245.92,4961.25,57955.6,9743.76,12651.6,793.5,3761.16,104.2
48551.3,27122,117317,35310.6,23110,100135,633.94,263.9,2943.75,9850.62,2985.84,10036.3,617.25,5374.2,105.5
86280.4,48894,115648,27158,20746,85791.4,472.12,121.8,2783.25,21958.6,4449.9,8629.14,531.75,2332.2,105.5
90170.7,53394,110676,37759,24962,99133.7,2041.02,517.36,4400.25,41622.4,8307,35862.1,792,15227.2,105.5
93087.9,62569,97502.1,16416.7,13273,81058,190.82,66.12,1490.25,5502.9,1903.98,5572.32,394.5,1281.54,105.9
79498.1,46166,112853,31199.2,21670,94355,294.06,229.1,3221.25,25179.2,5078.58,18953.2,593.25,1666.86,106.4
75299.1,39791,124018,22666.8,15711,94551,1057.34,261.58,3180,28418.5,5463.12,13372.3,577.5,8140.86,106.6
66841.3,42783,102389,46605,29563,103315,936.7,190.82,5044.5,41284.6,8172.84,14543.9,993.75,6469.32,106.9
82167.8,36520,147452,49399.7,28776,112506,1673.88,393.24,3786.75,22862.6,4890.6,12338.8,911.25,12806,107
67192.2,39118,112570,47385,31518,98528.6,408.32,30.74,2269.5,15561,3194.88,7371.78,629.25,1365.78,107.3
46352.9,24950,121755,27943.5,19250,95132.7,450.66,113.68,3847.5,33015.1,6738.42,10826.4,663.75,1868.88,107.7
85272,50006,111754,35805.9,24598,95397,747.04,282.46,4380,33206.2,6841.38,16261.4,829.5,5155.8,108.5
109957,58067,124100,41965.6,26611,103350,278.98,183.86,4487.25,44808.7,8194.68,15444.8,743.25,2304.12,108.6
