"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
74857.1,47482,103320,23528.7,17914,86076.6,437.9,73.08,2183.25,13419.1,3561.48,9107.28,570.75,1863.42,84
134344,76806,114631,27366.3,19810,90534,1711,396.14,2099.25,7331.22,2787.72,16691.2,614.25,15809,84.2
102228,60387,110944,31626.7,22563,91862.1,756.9,247.66,5160,63642.5,10511.3,10667.3,630,7385.04,84.7
78873.9,44979,114922,34368.4,23059,97678.3,1267.3,212.28,2384.25,14362.1,3494.4,14048.6,558.75,7745.4,84.8
125567,69411,118557,27513.7,20967,85998.9,627.56,142.1,2820,25765.7,4807.92,2917.98,583.5,4511.52,85
162102,86593,122683,40476.5,26914,98561,608.42,160.66,3794.25,21772.9,5357.82,7998.12,961.5,4977.96,85.2
121763,63315,126034,33316.9,23171,94232.3,1342.12,185.6,5429.25,71600.9,11350.6,7923.24,684.75,13363.7,85.5
61278.9,34156,117577,17517.2,12268,93577.6,320.74,152.54,1586.25,12212.5,2432.04,5380.44,388.5,3107.52,85.6
170686,91471,122291,29595.5,21439,90469.4,1564.26,249.4,5374.5,63545,10944.2,9707.1,759,14970.5,86.7
124457,70619,115499,33774,24703,89601,1193.06,316.68,3063.75,17606.9,4582.5,14498.6,700.5,13140.7,87.7
118791,73534,105870,19999.2,15598,84027.9,897.26,259.26,2037,10637.6,3203.46,14764.6,491.25,4831.32,87.7
46936.3,24489,125608,5350.02,3629,96615.9,279.56,127.6,946.5,11527.6,2043.6,6153.42,136.5,2618.46,87.8
82756.7,49517,109529,23012.3,18921,79707,204.16,49.88,2278.5,18845.6,3727.62,4104.36,444.75,1608.36,87.8
56764.4,34703,107198,21726.1,16379,86931,370.62,56.26,2235,18930.6,3742.44,8158.02,576.75,1761.24,88
51070.7,26456,126511,20604.5,14572,92666.4,419.34,152.54,2235,20977.3,3869.58,9492.6,455.25,3307.2,88.2
43250.7,30163,93972.1,10794.4,9107,77679,161.82,34.22,2232.75,32430.1,4882.8,1586.52,273.75,1035.06,88.5
79753.1,41654,125479,26559,17586,98974.8,923.94,367.72,3644.25,21418,5632.38,26062.9,885.75,5342.22,88.7
122215,72090,111104,25915.5,18350,92555.8,604.94,282.46,4487.25,59118.5,9136.92,6226.74,557.25,7433.4,89
68750.7,39343,114522,18880.7,12619,98055.6,1226.12,377,2459.25,18684.9,3808.74,15101.6,468.75,15353.5,89
118954,67391,115680,21361.9,15631,89563.7,1012.1,176.32,3223.5,32309.9,5679.96,7583.16,547.5,8221.2,89.2
95631.8,61270,102290,17032.9,13186,84655.4,613.64,170.52,2077.5,25312.6,4332.12,9159.54,273,4696.38,89.2
96739.5,54435,116468,29098.7,21651,88079.6,122.96,127.6,3938.25,53220.2,8353.8,10174.3,457.5,1715.22,89.3
91522.6,51919,115527,21854.8,15707,91187.2,327.12,202.42,2017.5,19213.7,3850.08,12027.6,362.25,3661.32,90
73773.2,42738,113127,28328,19394,95725.8,1103.16,288.84,3414,38043.7,6586.32,11712.5,502.5,10481.6,90.8
127547,63803,131011,41768.2,26671,102633,1533.52,450.66,4605,31320.9,6773.52,21093.5,1008.75,15422.9,90.8
109957,64239,112177,21131.8,16315,84884.5,130.5,141.52,2069.25,10422.4,2861.82,4296.24,502.5,1629.42,91
