"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
121296,67424,117899,24112.1,16404,96331,1609.5,354.38,2685,23211.2,4743.96,15472.1,550.5,18626.4,169
127861,76578,109424,49037,29718,108140,2257.36,597.98,4018.5,31305.3,7011.42,38633.4,732.75,25850,169.6
116618,72024,106113,23288.5,16248,93933.6,638,343.94,1805.25,13083.7,3229.2,20966.4,433.5,7070.7,170
119780,70241,111757,22637.2,15077,98398.1,1828.74,364.82,1976.25,9380.28,2722.2,16387.8,519.75,19883.8,170.2
123625,69517,116546,54348.8,31981,111373,352.06,289.42,4293.75,31816.2,6995.04,23521.7,972.75,2616.9,170.2
150949,93221,106120,44944.4,31089,94743.3,309.72,243.6,2491.5,14167.1,3736.98,14624.2,582,1966.38,172.8
78157.2,36251,141296,51026.8,25675,130247,2655.82,631.04,4922.25,36225.5,7564.44,22517.8,1032,28588.6,174.7
124787,79722,102582,20616.2,15566,86798.3,414.7,132.82,3211.5,42931.2,6701.76,4431.96,423,4256.46,174.9
55231.6,24166,149783,41919.5,23174,118548,2069.44,611.32,5376.75,61323.6,10784.3,36965,791.25,23176.9,175.7
121906,68960,115853,24050.5,16644,94699.3,914.66,595.08,6653.25,97702,15629.6,34095.4,531.75,13193.7,178.7
131079,74427,115420,22617.7,15951,92926.5,1192.48,322.48,4340.25,53859,9164.22,15228.7,585,9540.96,179.2
111810,56566,129541,39039.8,21362,119769,1070.1,642.06,4380.75,46934.2,9256.26,38749.6,724.5,11954.3,179.5
101823,61523,108465,29252.3,20947,91520.6,303.92,233.74,4245.75,63240.1,10257,18719.2,384.75,2492.1,179.9
59582.3,33570,116318,9462.18,4946,125377,92.22,85.84,1525.5,18363.5,3310.32,14217.1,193.5,1126.32,180
87509.2,45402,126316,38046.8,22458,111027,1313.7,597.98,2637,10051.9,3952.26,30190.7,670.5,14358.2,181
74618.4,47594,102748,15022.8,11898,82747.9,390.34,127.6,2688,38856.5,6469.32,16330.9,283.5,4642.56,181.1
77731.5,36478,139652,37858.1,21962,112971,342.2,247.08,2405.25,18274.6,4084.08,22012.4,547.5,1711.32,181.4
80742.5,49838,106175,20022.6,15502,84647.2,450.66,120.06,1042.5,4851.6,1635.66,7952.1,267.75,2811.9,181.4
100082,71979,91123.8,16815.2,13707,80397.1,611.32,267.96,3340.5,50880.2,7986.42,15782.5,300.75,3675.36,182.6
123061,68733,117337,26721.2,19101,91681.2,267.38,198.94,3843.75,48392,7967.7,10511.3,482.25,1924.26,182.8
145510,81689,116738,26314.1,18649,92472.5,879.28,228.52,3752.25,42313.4,7257.9,13765.4,552,6941.22,183.7
68207.4,39779,112372,23447.6,16919,90824.5,95.12,55.1,1505.25,15704.5,2864.94,7316.4,272.25,735.54,185.9
128159,81495,103062,20110.7,15671,84103,362.5,189.08,2456.25,36408.1,5895.24,14724.8,281.25,3440.58,186.3
105861,58775,118038,32111.8,23111,91059.7,349.74,276.66,3237.75,27849.1,5532.54,15522,608.25,2347.02,187.5
69661.2,48787,93576.6,8317.92,7047,77355.4,251.72,106.14,2478,40515.5,6014.58,2988.96,196.5,2030.34,187.8
94589.4,57878,107105,15572.7,12018,84920.3,787.06,194.3,2628.75,36599.2,6115.2,10974.6,308.25,8705.58,188
53555.4,35416,99102.4,8878.74,7020,82888.5,233.16,145,1518,21698,3540.42,11126.7,200.25,3023.28,189.8
75882.6,41472,119913,21216,15632,88946.5,378.74,232.58,2046,15250.6,3088.8,9667.32,439.5,4447.56,190.1
113967,59590,125339,19293.3,13286,95168.3,824.18,265.06,2585.25,27860,5231.46,19627.9,508.5,6280.56,190.6
154614,89190,113609,37837,25478,97326.6,1882.1,454.72,2714.25,20649.7,4385.16,17175.6,598.5,20354.9,192.4
127692,75330,111090,31604.8,22402,92458.4,513.3,274.34,4421.25,62120.8,10154,23009.2,504,4492.02,194.1
79726.6,60250,86721.4,12303.7,10346,77937,260.42,74.82,981,6084.78,1531.92,5246.28,255,2896.92,194.5
103606,55204,122997,31044,20048,101481,535.92,324.22,1792.5,12357.5,3173.04,24052.9,369.75,6666.66,194.9
125068,79012,103737,13671.8,10528,85106.2,309.72,158.92,3066,45230.6,7299.24,10420.8,278.25,4031.82,195
89386,49663,117955,30038.6,19195,102558,411.8,480.24,9018,141979,21538.1,39263.6,667.5,6118.32,195
78136.8,52302,97907.7,18067.9,13806,85767,107.3,194.88,2450.25,37251.2,5786.82,12923,236.25,847.86,199.4
71125.3,37043,125834,26795.3,17895,98131.3,22.62,179.22,2331,25551.2,4550.52,7816.38,391.5,1268.28,200.5
62079.9,40359,100807,15267.7,12215,81914.5,151.38,66.12,966.75,8670.48,1933.62,7225.14,249,485.94,200.9
105181,60958,113080,20046.8,14830,88589.7,649.02,306.24,3622.5,45986.5,7826.52,18514.1,494.25,5308.68,201.7
131742,79480,108629,26325,19272,89520.3,554.48,219.24,4152.75,62311.9,9746.1,18379.1,354,4862.52,202.2
123444,73463,110124,39443.8,25191,102616,428.04,174,5268,68731.3,11288.9,12912.1,813,2449.2,203.2
115153,64323,117324,25994.3,18931,89987.9,549.84,334.66,4633.5,66081.6,10460.6,22120.8,472.5,6193.98,204.6
79567.5,48582,107335,23788.4,16566,94108.4,244.76,267.38,2991.75,42346.2,6727.5,18842.5,327.75,1134.12,205.5
113033,67487,109765,19704.4,14715,87757.1,1235.4,412.96,4218,64600.4,9884.16,18312.1,412.5,12764.7,205.6
200633,109272,120330,39621.7,25900,100257,1159.42,611.32,9543.75,137976,22436.7,44260.3,944.25,12312.3,206.3
